trial,yield,mse,active_ingredient,year,spray
87,2453.25,210471.3321,check,2008,
87,2589.35,210471.3321,pico_cypr,2008,
87,2922.13,210471.3321,azox_cypr,2008,
87,3213.58,210471.3321,tebu,2008,
88,1372.35,272270.6510,check,2008,
88,2772.10,272270.6510,pico_cypr,2008,
88,2601.90,272270.6510,azox_cypr,2008,
88,2466.20,272270.6510,tebu,2008,
89,3436.08,85159.8566,check,2009,3
89,4079.35,85159.8566,pico_cypr,2009,3
89,3588.38,85159.8566,pyra_epox,2009,3
89,3546.70,85159.8566,azox_cypr,2009,3
89,3756.23,85159.8566,tebu,2009,3
90,2346.98,26239.4300,check,2009,3
90,3110.63,26239.4300,pico_cypr,2009,3
90,3097.43,26239.4300,pyra_epox,2009,3
90,2921.78,26239.4300,azox_cypr,2009,3
90,2977.27,26239.4300,tebu,2009,3
91,2343.20,49743.8451,check,2009,2
91,3330.08,49743.8451,pico_cypr,2009,2
91,3079.30,49743.8451,pyra_epox,2009,2
91,3616.33,49743.8451,azox_cypr,2009,2
91,2757.95,49743.8451,tebu,2009,2
92,2269.50,53460.6563,check,2009,2
92,2910.00,53460.6563,pico_cypr,2009,2
92,2964.00,53460.6563,pyra_epox,2009,2
92,2838.00,53460.6563,azox_cypr,2009,2
92,2496.00,53460.6563,tebu,2009,2
93,2293.50,59516.5898,check,2009,3
93,3634.50,59516.5898,pico_cypr,2009,3
93,3312.00,59516.5898,pyra_epox,2009,3
93,3175.50,59516.5898,azox_cypr,2009,3
93,2826.00,59516.5898,tebu,2009,3
94,2486.50,44480.5553,check,2009,3
94,3399.38,44480.5553,pico_cypr,2009,3
94,3053.73,44480.5553,pyra_epox,2009,3
94,3290.80,44480.5553,azox_cypr,2009,3
94,3076.04,44480.5553,tebu,2009,3
95,1517.63,29374.9238,check,2009,2
95,1672.20,29374.9238,pico_cypr,2009,2
95,1698.00,29374.9238,pyra_epox,2009,2
95,1652.25,29374.9238,azox_cypr,2009,2
95,1666.68,29374.9238,tebu,2009,2
96,3528.90,106071.8401,check,2009,2
96,3949.30,106071.8401,pico_cypr,2009,2
96,4120.00,106071.8401,pyra_epox,2009,2
96,4311.35,106071.8401,azox_cypr,2009,2
96,3881.45,106071.8401,tebu,2009,2
97,1339.23,80827.8332,check,2009,3
97,2583.90,80827.8332,pico_cypr,2009,3
97,2806.45,80827.8332,pyra_epox,2009,3
97,2592.98,80827.8332,azox_cypr,2009,3
97,1990.37,80827.8332,tebu,2009,3
98,1429.13,115702.2581,check,2009,2
98,2069.13,115702.2581,pico_cypr,2009,2
98,2008.33,115702.2581,pyra_epox,2009,2
98,2067.30,115702.2581,azox_cypr,2009,2
98,1863.99,115702.2581,tebu,2009,2
99,1855.93,73973.2790,check,2009,
99,2477.33,73973.2790,pico_cypr,2009,
99,2401.50,73973.2790,pyra_epox,2009,
99,2440.38,73973.2790,azox_cypr,2009,
99,2137.53,73973.2790,tebu,2009,
100,1669.13,19688.5859,check,2009,3
100,1946.03,19688.5859,pico_cypr,2009,3
100,2020.05,19688.5859,pyra_epox,2009,3
100,2026.58,19688.5859,azox_cypr,2009,3
100,1903.08,19688.5859,tebu,2009,3
101,2118.73,51983.7242,check,2009,2
101,2820.05,51983.7242,pico_cypr,2009,2
101,2968.88,51983.7242,pyra_epox,2009,2
101,2784.58,51983.7242,azox_cypr,2009,2
101,2695.62,51983.7242,tebu,2009,2
102,1081.93,13621.1523,check,2009,2
