trial,severity,mse,active_ingredient,year,spray
191,7.9,55.33878,pyra_metc,2011,2
223,7.9,71.92403,azox_cypr,2013,2
154,7.9,9.61924,pyra_epox,2010,2
59,8.0,9.70913,azox_cypr,2007,2
118,8.0,37.49762,trif_prot,2009,3
142,8.0,1.58440,pyra_epox,2010,3
144,8.0,43.60284,pico_cypr,2010,2
187,8.0,2.65794,trif_prot,2011,2
75,8.1,26.41840,pyra_epox,2007,2
173,8.1,3.75288,pyra_epox,2011,2
228,8.1,1.78622,pyra_epox,2013,3
213,8.2,3.66927,pyra_epox,2013,2
205,8.3,0.62674,azox,2012,2
232,8.3,2.45560,tebu,2014,3
146,8.3,23.78373,pyra_epox,2010,3
65,8.4,1.31913,azox,2007,2
114,8.4,0.20099,tebu,2009,3
240,8.4,1.08662,trif_prot,2014,3
246,8.4,27.60144,pico_cypr,2014,2
82,8.5,44.25989,azox_cypr,2008,2
104,8.5,12.08496,pico_cypr,2009,2
118,8.5,37.49762,azox_cypr,2009,3
168,8.5,16.11492,pyra_metc,2010,2
224,8.5,40.83477,pico_cypr,2013,2
235,8.5,15.77622,pico_cypr,2014,2
184,8.5,24.19623,azox_cypr,2011,2
155,8.6,20.42122,pico_cypr,2010,2
15,8.8,20.62652,azox_cypr,2005,2
38,8.8,44.55256,tebu,2006,2
67,8.8,20.42879,pyra_epox,2007,2
77,8.8,31.70614,azox_cypr,2007,2
129,8.8,5.01111,pyra_metc,2009,2
146,8.8,23.78373,pyra_metc,2010,3
194,8.8,33.86840,cypr,2012,2
232,8.8,2.45560,cypr,2014,3
233,8.8,13.58053,pico_cypr,2014,3
173,8.8,3.75288,pyra_metc,2011,2
56,8.8,10.16442,tebu,2007,2
219,8.9,10.11219,trif_prot,2013,3
156,8.9,14.76843,pyra_metc,2010,3
219,8.9,10.11219,azox_cypr,2013,3
54,8.9,39.31650,cypr,2007,2
98,9.0,0.75780,check,2009,2
173,9.0,3.75288,pico_cypr,2011,2
191,9.0,55.33878,pyra_epox,2011,2
204,9.0,10.64722,pyra_epox,2012,3
206,9.0,0.93333,pico_cypr,2012,2
206,9.0,0.93333,azox_cypr,2012,2
232,9.0,2.45560,azox,2014,3
159,9.0,44.15730,pyra_metc,2010,
181,9.1,43.46405,pico_cypr,2011,2
156,9.1,14.76843,pico_cypr,2010,3
181,9.1,43.46405,trif_prot,2011,2
184,9.1,24.19623,pico_cypr,2011,2
59,9.2,9.70913,tebu,2007,2
148,9.2,4.23162,cypr,2010,2
246,9.2,27.60144,azox_cypr,2014,2
22,9.2,4.64198,cypr,2006,2
36,9.2,8.95266,cypr,2006,2
228,9.2,1.78622,azox_cypr,2013,3
246,9.2,27.60144,pyra_epox,2014,2
124,9.3,14.34246,azox_cypr,2009,
134,9.3,1.50873,pyra_metc,2009,
186,9.3,31.15238,tebu,2011,2
249,9.3,1.22953,azox_cypr,2014,2
213,9.3,3.66927,azox_cypr,2013,2
13,9.4,28.05183,tebu,2005,2
100,9.4,20.54338,pyra_epox,2009,3
139,9.4,16.48810,azox_cypr,2009,2
184,9.4,24.19623,pyra_metc,2011,2
77,9.4,31.70614,tebu,2007,2
30,9.4,4.59517,tebu,2006,2
191,9.5,55.33878,trif_prot,2011,2
208,9.5,11.25278,trif_prot,2012,2
232,9.5,2.45560,azox_cypr,2014,3
244,9.5,28.18987,cypr,2014,3
7,9.6,6.41160,check,2005,2
53,9.7,2.10570,check,2007,2
127,9.8,5.48432,azox_cypr,2009,2
91,9.8,2.56700,check,2009,2
229,9.9,4.42391,azox_cypr,2013,2
131,10.0,11.28952,pyra_metc,2009,3
142,10.0,1.58440,pico_cypr,2010,3
178,10.0,1.06754,azox_cypr,2011,2
208,10.0,11.25278,cypr,2012,2
56,10.1,10.16442,cypr,2007,2
246,10.1,27.60144,pyra_metc,2014,2
185,10.1,32.22233,azox_cypr,2011,2
220,10.1,43.27491,azox_cypr,2013,2
223,10.2,71.92403,pyra_epox,2013,2
40,10.2,40.76914,tebu,2007,2
17,10.2,15.08667,tebu,2005,2
103,10.3,27.17641,azox_cypr,2009,3
128,10.3,11.68611,tebu,2009,3
205,10.3,0.62674,cypr,2012,2
184,10.3,24.19623,pyra_epox,2011,2
168,10.4,16.11492,pico_cypr,2010,2
58,10.4,6.75534,azox,2007,2
77,10.5,31.70614,pyra_epox,2007,2
86,10.5,13.95273,pico_cypr,2008,
30,10.5,4.59517,cypr,2006,2
38,10.5,44.55256,cypr,2006,2
82,10.5,44.25989,tebu,2008,2
116,10.5,1.52840,check,2009,2
142,10.5,1.58440,azox_cypr,2010,3
178,10.5,1.06754,pico_cypr,2011,2
187,10.5,2.65794,pyra_epox,2011,2
229,10.5,4.42391,trif_prot,2013,2
232,10.5,2.45560,pyra_metc,2014,3
57,10.7,10.24555,cypr,2007,2
106,10.7,27.16694,azox_cypr,2009,3
99,10.8,7.74542,pico_cypr,2009,
146,10.8,23.78373,pico_cypr,2010,3
147,10.8,8.93935,pico_cypr,2010,3
178,10.8,1.06754,pyra_metc,2011,2
213,10.8,3.66927,pico_cypr,2013,2
173,10.9,3.75288,azox_cypr,2011,2
220,10.9,43.27491,pico_cypr,2013,2
106,10.9,27.16694,pico_cypr,2009,3
111,10.9,27.74609,tebu,2009,2
76,11.0,14.94828,tebu,2007,2
187,11.0,2.65794,pyra_metc,2011,2
206,11.0,0.93333,pyra_epox,2012,2
231,11.0,0.73264,azox,2013,2
232,11.0,2.45560,pyra_epox,2014,3
86,11.0,13.95273,azox_cypr,2008,
39,11.1,20.14764,cypr,2007,2
223,11.2,71.92403,trif_prot,2013,2
29,11.3,15.58143,cypr,2006,2
47,11.3,52.53432,cypr,2007,2
232,11.3,2.45560,trif_prot,2014,3
181,11.3,43.46405,azox_cypr,2011,2
99,11.4,7.74542,pyra_epox,2009,
132,11.4,28.07652,tebu,2009,2
137,11.4,16.97160,tebu,2009,2
208,11.5,11.25278,azox_cypr,2012,2
244,11.5,28.18987,azox,2014,3
162,11.7,20.24685,cypr,2010,3
216,11.8,21.61276,tebu,2013,2
244,11.8,28.18987,tebu,2014,3
251,11.8,0.45000,tebu,2014,2
6,11.8,37.79475,azox_cypr,2005,2
37,11.9,519.11825,tebu,2006,2
154,11.9,9.61924,pyra_metc,2010,2
223,12.0,71.92403,pico_cypr,2013,2
156,12.0,14.76843,azox_cypr,2010,3
178,12.0,1.06754,pyra_epox,2011,2
227,12.0,25.03053,trif_prot,2013,3
27,12.0,32.56216,tebu,2006,2
131,12.1,11.28952,azox_cypr,2009,3
148,12.1,4.23160,check,2010,2
114,12.3,0.20100,check,2009,3
205,12.3,0.62674,tebu,2012,2
232,12.3,2.45560,pico_cypr,2014,3
99,12.4,7.74542,azox_cypr,2009,
67,12.5,20.42879,azox,2007,2
89,12.5,0.25970,check,2009,3
187,12.5,2.65794,pico_cypr,2011,2
216,12.5,21.61276,pyra_epox,2013,2
149,12.6,283.93882,pyra_epox,2010,2
103,12.6,27.17641,tebu,2009,3
242,12.6,9.05476,trif_prot,2014,
233,12.6,13.58053,azox_cypr,2014,3
224,12.7,40.83477,cypr,2013,2
231,12.8,0.73264,tebu,2013,2
246,12.8,27.60144,tebu,2014,2
246,12.8,27.60144,azox,2014,2
35,12.9,1.62370,check,2006,2
249,13.0,1.22953,cypr,2014,2
68,13.0,14.30184,azox_cypr,2007,2
147,13.3,8.93935,pyra_metc,2010,3
202,13.3,9.90909,pico_cypr,2012,2
227,13.3,25.03053,pico_cypr,2013,3
225,13.3,31.76616,pico_cypr,2013,3
156,13.4,14.76843,pyra_epox,2010,3
168,13.5,16.11492,tebu,2010,2
208,13.5,11.25278,pico_cypr,2012,2
101,13.7,6.63221,tebu,2009,2
84,13.8,10.49907,tebu,2008,2
106,13.8,27.16694,pyra_epox,2009,3
209,13.8,7.56114,azox,2013,2
209,13.8,7.56114,trif_prot,2013,2
209,13.8,7.56114,cypr,2013,2
216,13.8,21.61276,azox,2013,2
188,13.9,29.87248,trif_prot,2011,2
124,13.9,14.34246,pyra_metc,2009,
146,13.9,23.78373,azox_cypr,2010,3
108,14.0,7.40093,azox_cypr,2009,2
120,14.0,4.79048,pyra_metc,2009,2
228,14.0,1.78622,azox,2013,3
165,14.1,12.79339,pico_cypr,2010,2
119,14.1,2.87570,tebu,2009,3
225,14.2,31.76616,pyra_epox,2013,3
108,14.3,7.40093,pyra_epox,2009,2
200,14.3,4.01285,cypr,2012,2
201,14.3,25.44340,pico_cypr,2012,2
239,14.3,12.04741,trif_prot,2014,2
82,14.4,44.25989,pico_cypr,2008,2
108,14.5,7.40093,pico_cypr,2009,2
204,14.5,10.64722,azox,2012,3
208,14.5,11.25278,pyra_epox,2012,2
249,14.5,1.22953,pyra_epox,2014,2
225,14.5,31.76616,trif_prot,2013,3
213,14.6,3.66927,cypr,2013,2
191,14.8,55.33878,azox_cypr,2011,2
194,14.8,33.86840,tebu,2012,2
147,14.8,8.93935,pyra_epox,2010,3
213,14.9,3.66927,azox,2013,2
57,14.9,10.24550,check,2007,2
213,14.9,3.66927,tebu,2013,2
147,15.0,8.93935,azox_cypr,2010,3
208,15.0,11.25278,azox,2012,2
209,15.0,7.56114,pyra_epox,2013,2
209,15.0,7.56114,azox_cypr,2013,2
209,15.0,7.56114,tebu,2013,2
249,15.0,1.22953,azox,2014,2
69,15.2,26.34440,tebu,2007,2
127,15.2,5.48432,pyra_metc,2009,2
168,15.3,16.11492,cypr,2010,2
219,15.3,10.11219,tebu,2013,3
225,15.3,31.76616,azox_cypr,2013,3
220,15.5,43.27491,pyra_epox,2013,2
224,15.7,40.83477,tebu,2013,2
83,15.7,6.93660,check,2008,
142,15.8,1.58440,pyra_metc,2010,3
208,15.8,11.25278,tebu,2012,2
225,15.8,31.76616,cypr,2013,3
229,15.8,4.42391,azox,2013,2
83,15.8,6.93658,tebu,2008,
165,15.8,12.79339,pyra_metc,2010,2
107,15.9,16.49676,tebu,2009,2
191,16.0,55.33878,pico_cypr,2011,2
197,16.0,2.41944,trif_prot,2012,3
206,16.0,0.93333,azox,2012,2
249,16.0,1.22953,pyra_metc,2014,2
49,16.2,38.89591,tebu,2007,2
15,16.2,20.62652,tebu,2005,2
150,16.3,12.41987,pyra_epox,2010,2
186,16.3,31.15240,check,2011,2
198,16.3,9.63507,trif_prot,2012,2
232,16.3,2.45560,check,2014,3
24,16.4,14.60036,cypr,2006,2
229,16.5,4.42391,pyra_epox,2013,2
169,16.5,2.76496,cypr,2010,2
174,16.7,37.16914,azox_cypr,2011,2
132,16.7,28.07652,pyra_metc,2009,2
